Nombre común,Nombre científico,Estado,Archivo HTML,URL
Vieja,Sparisoma cretense,Encontrado,fishbase_species/Vieja.html,https://www.fishbase.se/summary/Sparisoma-cretense.html
Sama,Dentex gibbosus,Encontrado,fishbase_species/Sama.html,https://www.fishbase.se/summary/Dentex-gibbosus.html
Sama roquera,Pagrus auriga,Encontrado,fishbase_species/Sama_roquera.html,https://www.fishbase.se/summary/Pagrus-auriga.html
Cherne,Polyprion americanus,Encontrado,fishbase_species/Cherne.html,https://www.fishbase.se/summary/Polyprion-americanus.html
Bocinegro,Pagrus pagrus,Encontrado,fishbase_species/Bocinegro.html,https://www.fishbase.se/summary/Pagrus-pagrus.html
Atún,Thunnus thynnus,Encontrado,fishbase_species/Atún.html,https://www.fishbase.se/summary/Thunnus-thynnus.html
Rabil,Thunnus albacares,Encontrado,fishbase_species/Rabil.html,https://www.fishbase.se/summary/Thunnus-albacares.html
Bonito,Sarda sarda,Encontrado,fishbase_species/Bonito.html,https://www.fishbase.se/summary/Sarda-sarda.html
Melva,Auxis rochei,Encontrado,fishbase_species/Melva.html,https://www.fishbase.se/summary/Auxis-rochei.html
Listado,Katsuwonus pelamis,Encontrado,fishbase_species/Listado.html,https://www.fishbase.se/summary/Katsuwonus-pelamis.html
Caballa,Scomber scombrus,Encontrado,fishbase_species/Caballa.html,https://www.fishbase.se/summary/Scomber-scombrus.html
Sardina,Sardina pilchardus,Encontrado,fishbase_species/Sardina.html,https://www.fishbase.se/summary/Sardina-pilchardus.html
Jurel,Trachurus trachurus,Encontrado,fishbase_species/Jurel.html,https://www.fishbase.se/summary/Trachurus-trachurus.html
Chicharro,Caranx crysos,Encontrado,fishbase_species/Chicharro.html,https://www.fishbase.se/summary/Caranx-crysos.html
Abade,Mycteroperca fusca,Encontrado,fishbase_species/Abade.html,https://www.fishbase.se/summary/Mycteroperca-fusca.html
Mero,Epinephelus marginatus,Encontrado,fishbase_species/Mero.html,https://www.fishbase.se/summary/Epinephelus-marginatus.html
Sargo,Diplodus sargus,Encontrado,fishbase_species/Sargo.html,https://www.fishbase.se/summary/Diplodus-sargus.html
Breca,Pagellus erythrinus,Encontrado,fishbase_species/Breca.html,https://www.fishbase.se/summary/Pagellus-erythrinus.html
Morena,Muraena helena,Encontrado,fishbase_species/Morena.html,https://www.fishbase.se/summary/Muraena-helena.html
Serrano,Serranus cabrilla,Encontrado,fishbase_species/Serrano.html,https://www.fishbase.se/summary/Serranus-cabrilla.html
Cabrilla,Epinephelus costae,Encontrado,fishbase_species/Cabrilla.html,https://www.fishbase.se/summary/Epinephelus-costae.html
Bicuda,Sphyraena viridensis,Encontrado,fishbase_species/Bicuda.html,https://www.fishbase.se/summary/Sphyraena-viridensis.html
Pejerrey,Atherina presbyter,Encontrado,fishbase_species/Pejerrey.html,https://www.fishbase.se/summary/Atherina-presbyter.html
Boga,Boops boops,Encontrado,fishbase_species/Boga.html,https://www.fishbase.se/summary/Boops-boops.html
Dorado,Coryphaena hippurus,Encontrado,fishbase_species/Dorado.html,https://www.fishbase.se/summary/Coryphaena-hippurus.html
Sierra,Scomberomorus cavalla,Encontrado,fishbase_species/Sierra.html,https://www.fishbase.se/summary/Scomberomorus-cavalla.html
Anchete,Balistes capriscus,Encontrado,fishbase_species/Anchete.html,https://www.fishbase.se/summary/Balistes-capriscus.html
Palometa roja,Lobotes surinamensis,Encontrado,fishbase_species/Palometa_roja.html,https://www.fishbase.se/summary/Lobotes-surinamensis.html
Fula colorada,Anthias anthias,Encontrado,fishbase_species/Fula_colorada.html,https://www.fishbase.se/summary/Anthias-anthias.html
Pámpano,Trachinotus ovatus,Encontrado,fishbase_species/Pámpano.html,https://www.fishbase.se/summary/Trachinotus-ovatus.html
Rufo,Scorpaena scrofa,Encontrado,fishbase_species/Rufo.html,https://www.fishbase.se/summary/Scorpaena-scrofa.html
Bocanegra,Acanthocybium solandri,Encontrado,fishbase_species/Bocanegra.html,https://www.fishbase.se/summary/Acanthocybium-solandri.html
Cabracho,Scorpaena porcus,Encontrado,fishbase_species/Cabracho.html,https://www.fishbase.se/summary/Scorpaena-porcus.html
Medregal,Seriola dumerili,Encontrado,fishbase_species/Medregal.html,https://www.fishbase.se/summary/Seriola-dumerili.html
